------ Begin Next Fly'm ------
55.92	12	12.3603	44.0548	102	-1.38724	26.7193	17487.7	8.88485e+07
55.92	13	-15.1094	25.2157	102	0.0469172	39.8369	10856.6	3.41898e+07
55.92	14	12.7605	17.4948	102	2.06955	36.7155	13299.2	5.13297e+07
55.92	15	-7.112	11.056	102	-1.11491	35.3853	15651.9	7.11376e+07
55.92	16	15.885	30.018	102	-2.71859	49.4129	10817.7	3.39453e+07
55.92	17	-15.7665	28.93	102	1.3552	31.0234	18223.3	9.65016e+07
55.92	18	-8.34491	9.39979	102	-4.4013	125.718	5376.28	8.38267e+06
55.92	19	-12.1661	1.84959	102	-0.361051	40.8552	18479.7	9.92451e+07
55.92	20	-9.74562	45.7745	102	2.32055	90.6712	8525.74	2.10791e+07
55.92	21	-20.0026	10.0937	102	-14.1434	66.291	11687.3	3.96291e+07
55.92	22	2.52739	17.4526	102	0.384048	47.9807	16489.7	7.89752e+07
4.0026	2	5.73687	14.8629	102	0.706752	30.6508	32852.6	2.25905e+07
4.0026	2	16.3084	28.9756	102	-0.887596	18.7722	48653.1	5.00906e+07
4.0026	2	21.0374	36.6123	102	-4.34029	21.0122	44048.6	4.09088e+07
4.0026	2	-8.7229	2.62738	102	-0.214761	21.3586	49825.8	5.25862e+07
4.0026	2	5.45131	39.7131	102	-0.346995	15.5572	65046	9.09843e+07
4.0026	2	13.67	21.5312	102	0.492061	15.9547	58321.9	7.26207e+07
4.0026	2	2.85314	10.2243	102	0.243005	22.305	45844.8	4.43743e+07
4.0026	2	-20.2932	5.8043	102	-4.92998	24.4134	48205	4.9154e+07
4.0026	2	7.03415	32.7464	102	-0.689328	27.5313	36063.9	2.72735e+07
4.0026	2	5.72767	11.8551	102	0.577224	23.6784	42968.7	3.88966e+07
4.0026	2	2.07061	48.3354	102	-0.0123107	15.7128	65651	9.27488e+07
4.0026	2	8.41728	4.91273	102	0.588935	27.0471	39226.1	3.23312e+07
4.0026	2	1.73073	37.1758	102	-0.452796	66.6528	15341.5	4.89157e+06
4.0026	2	-12.1102	14.6812	102	-0.922529	14.3926	67648.1	9.87069e+07
4.0026	2	1.90225	6.14647	102	0.0943694	19.0203	54220.8	6.25174e+07
4.0026	2	-11.8568	42.3601	102	0.914813	15.7933	66099.6	9.40691e+07
4.0026	2	-11.9426	20.2767	102	-1.95365	56.9823	16932.3	5.9611e+06
4.0026	2	-8.80415	41.8401	102	0.647087	17.4822	59127.7	7.47024e+07
4.0026	2	4.25308	46.0937	102	-0.179016	25.1603	41664.5	3.65369e+07
4.0026	2	15.8511	14.8958	102	1.85496	18.1517	52925.9	5.9496e+07
4.0026	2	-11.5009	10.4709	102	-3.50624	55.7653	18627.3	7.21797e+06
4.0026	2	-2.1012	37.3017	102	0.17435	21.0413	48079.9	4.88942e+07
4.0026	2	10.6465	17.1369	102	1.27472	28.9898	33876.7	2.40347e+07
4.0026	2	7.97273	23.6178	102	0.0916331	15.7163	61022.4	7.97238e+07
4.0026	2	21.283	30.9611	102	-2.77911	24.7948	34771.3	2.53338e+07
4.0026	2	13.543	15.0437	102	1.12209	14.7984	65265.3	9.16218e+07
4.0026	2	2.4777	35.9559	102	-0.174643	18.2124	55016.9	6.44148e+07
4.0026	2	23.4086	47.169	102	-7.62573	27.8704	56693.7	6.85117e+07
4.0026	2	-22.285	30.3237	102	1.3717	12.5817	65675.8	9.28213e+07
4.0026	2	-0.00805647	38.0149	102	0.000507028	16.1899	62112.5	8.26938e+07
4.0026	2	-20.8629	30.8011	102	3.04471	28.9695	30015.6	1.88289e+07
4.0026	2	-15.2525	28.0017	102	0.632531	19.6683	46860	4.63985e+07
4.0026	2	3.67901	27.5677	102	-0.069081	15.2289	63728.8	8.72077e+07
4.0026	2	21.9257	36.5427	102	-5.42806	24.0268	37875.5	3.01166e+07
4.0026	2	-7.58924	15.7889	102	-0.477898	15.5396	63242.6	8.5836e+07
4.0026	2	-21.8629	46.7332	102	6.11166	32.113	43712.8	4.02773e+07
4.0026	2	-8.31081	46.2357	102	0.273853	17.3709	60592.8	7.85697e+07
4.0026	2	23.3482	16.8946	102	2.98752	16.4931	50506.1	5.40637e+07
4.0026	2	-4.15692	9.49782	102	-0.308185	19.5442	52325.1	5.81213e+07
4.0026	2	-15.5308	42.6087	102	3.76063	37.1259	29348.3	1.7995e+07
4.0026	2	-17.9767	8.97569	102	-4.54225	28.4441	37271.7	2.91528e+07
4.0026	2	18.4378	34.6267	102	-2.6776	20.1194	46381.1	4.54378e+07
4.0026	2	23.3048	20.6648	102	1.79376	18.785	43379.1	3.96549e+07
4.0026	2	-17.7619	2.87645	102	-1.08273	18.4937	64688.6	8.99511e+07
4.0026	2	-16.4887	29.3402	102	2.99416	58.5632	15765.9	5.16649e+06
4.0026	2	17.572	2.66791	102	1.26062	25.389	47550.9	4.78035e+07
4.0026	2	-12.5039	22.9514	102	-0.323595	20.1603	46765.6	4.62082e+07
4.0026	2	-5.3693	31.848	102	0.282443	16.9843	57793.6	7.12732e+07
4.0026	2	4.26505	24.6503	102	0.018422	25.3673	38716	3.14853e+07
4.0026	2	-7.39722	5.27476	102	-0.323975	16.5326	62921.1	8.49356e+07
4.0026	2	-3.20932	6.46973	102	-0.297041	33.2482	31381.7	2.05964e+07
4.0026	2	13.2844	21.1299	102	0.95012	28.8389	32854.8	2.25935e+07
4.0026	2	3.26011	1.12097	102	0.00417099	20.1265	51526.5	5.63206e+07
4.0026	2	18.2706	36.0418	102	-2.15645	14.8441	63585.7	8.68028e+07
